doget:51051427 JDBC:48898671
doget:30423871 JDBC:30088989
doget:50183973 JDBC:47118118
doget:40245693 JDBC:39828952
doget:36820065 JDBC:36363075
doget:33864526 JDBC:33453072
doget:43214004 JDBC:42836801
doget:35086033 JDBC:34721504
doget:30787119 JDBC:30404823
doget:23118931 JDBC:22580256
doget:35977231 JDBC:34560395
doget:43817928 JDBC:43460324
doget:23357459 JDBC:22926441
doget:40792014 JDBC:39081673
doget:34013092 JDBC:33621207
doget:27102374 JDBC:23967815
doget:69807748 JDBC:65965368
doget:49342895 JDBC:48904764
doget:33664766 JDBC:33235953
doget:22815989 JDBC:22425211
doget:34721715 JDBC:34377814
doget:44035287 JDBC:43578055
doget:27351349 JDBC:27012008
doget:33921868 JDBC:33504698
doget:33818638 JDBC:33407266
doget:64523678 JDBC:64131645
doget:43326949 JDBC:42889969
doget:29037965 JDBC:28650544
doget:49761546 JDBC:49370146
doget:22489764 JDBC:22096819
doget:28928676 JDBC:28502462
doget:27671762 JDBC:27237612
doget:34953892 JDBC:28878530
doget:44130627 JDBC:43746568
doget:28049690 JDBC:27617445
doget:23118868 JDBC:22558366
doget:48973390 JDBC:48621127
doget:41151335 JDBC:40789359
doget:42076414 JDBC:41618483
doget:27453004 JDBC:27074555
doget:40321901 JDBC:37799600
doget:40772923 JDBC:40421115
doget:43926086 JDBC:43512733
doget:30257306 JDBC:29820158
doget:71551518 JDBC:70755779
doget:30672088 JDBC:30187425
doget:34686063 JDBC:34268341
doget:40005841 JDBC:39604833
doget:35658543 JDBC:35172211
doget:51061762 JDBC:50428298
doget:44292327 JDBC:43855786
doget:62333865 JDBC:61866858
doget:35017250 JDBC:34623709
doget:44547969 JDBC:44143909
doget:27303218 JDBC:26926550
doget:39666915 JDBC:39216409
doget:42900004 JDBC:41950193
doget:34781994 JDBC:34398540
doget:41192337 JDBC:40759866
doget:36363237 JDBC:35959136
doget:31280382 JDBC:28902650
doget:22442146 JDBC:21796696
doget:47044161 JDBC:46629419
doget:65364277 JDBC:65001180
doget:36842175 JDBC:36479415
doget:47279586 JDBC:46889047
doget:43490645 JDBC:43128846
doget:24074754 JDBC:23702911
doget:37925220 JDBC:37557134
doget:35291238 JDBC:34700463
doget:46180735 JDBC:45762322
doget:44958715 JDBC:44581075
doget:45552781 JDBC:44915030
doget:41113329 JDBC:40742442
doget:41281858 JDBC:40827122
doget:23200056 JDBC:22572048
doget:33269737 JDBC:32867357
doget:21011488 JDBC:20299976
doget:33486525 JDBC:32798867
doget:30205911 JDBC:29749179
doget:19556402 JDBC:18944494
doget:34898936 JDBC:34547702
doget:36371647 JDBC:33218454
doget:38023383 JDBC:37674869
doget:63720223 JDBC:63343630
doget:22020363 JDBC:21484158
doget:49461179 JDBC:49034676
doget:30703051 JDBC:30243661
doget:38753022 JDBC:38302473
doget:37895737 JDBC:37536209
doget:42066447 JDBC:41686722
doget:39287030 JDBC:38894238
doget:39621008 JDBC:36865367
doget:47598599 JDBC:47217407
doget:30628634 JDBC:30203155
doget:60074525 JDBC:59719948
doget:38295128 JDBC:37934323
doget:18826685 JDBC:18355512
doget:21645786 JDBC:21214796
doget:33628553 JDBC:33266666
doget:44683122 JDBC:44275561
doget:44633068 JDBC:44253807
doget:44539774 JDBC:44133966
doget:46126265 JDBC:45652757
doget:38202334 JDBC:37814726
doget:33331774 JDBC:32944890
doget:30642352 JDBC:30153720
doget:30690086 JDBC:30283082
doget:29124896 JDBC:28709513
doget:43252123 JDBC:42776362
doget:27310311 JDBC:26979111
doget:44332624 JDBC:43964712
doget:35171792 JDBC:34797053
doget:41028285 JDBC:40602987
doget:33579863 JDBC:33130611
doget:65368919 JDBC:65009230
doget:33895123 JDBC:33414764
doget:36623456 JDBC:36265501
doget:24770872 JDBC:24380484
doget:43003561 JDBC:42591943
doget:39493449 JDBC:39144584
doget:35086301 JDBC:34698171
doget:29128689 JDBC:28727382
doget:28020456 JDBC:27496596
doget:28483964 JDBC:28129666
doget:41103404 JDBC:40694644
doget:44407923 JDBC:43984572
doget:21698039 JDBC:21191251
doget:33577673 JDBC:33174759
doget:34937912 JDBC:34607341
doget:47286278 JDBC:46920100
doget:29035503 JDBC:26308981
doget:24454382 JDBC:24068111
doget:69807487 JDBC:69434866
doget:36159817 JDBC:35794517
doget:37271448 JDBC:36897236
doget:38087326 JDBC:37661779
doget:43008663 JDBC:42589447
doget:44685729 JDBC:44277727
doget:47282338 JDBC:46921453
doget:30537063 JDBC:30127830
doget:47136798 JDBC:46760917
doget:33236659 JDBC:32857792
doget:30416407 JDBC:30045780
doget:71945926 JDBC:71470314
doget:44696011 JDBC:44266084
doget:44764708 JDBC:44335057
doget:70573175 JDBC:64306127
doget:38518445 JDBC:38138113
doget:25233815 JDBC:24871781
doget:30696927 JDBC:30316497
doget:46316378 JDBC:45923797
doget:62081187 JDBC:61723993
doget:41527214 JDBC:41177119
doget:19490947 JDBC:18867500
doget:35180602 JDBC:34764088
doget:27831442 JDBC:27443900
doget:36854912 JDBC:36418481
doget:44742920 JDBC:44304926
doget:28874535 JDBC:28461999
doget:52520529 JDBC:52093348
doget:45863655 JDBC:45358387
doget:33669842 JDBC:33272088
doget:44239255 JDBC:43871192
doget:44261994 JDBC:43805284
doget:36748384 JDBC:36281963
doget:35339512 JDBC:34900744
doget:47056615 JDBC:46618321
doget:44533307 JDBC:44057409
doget:26039740 JDBC:25574385
doget:33698019 JDBC:33232403
doget:34184133 JDBC:33715121
doget:33416481 JDBC:33018654
doget:30458032 JDBC:30089454
doget:28708387 JDBC:28303308
doget:42770108 JDBC:42379755
doget:24400059 JDBC:24024418
doget:24121773 JDBC:23713082
doget:22644181 JDBC:22263366
doget:34768617 JDBC:34389097
doget:48794231 JDBC:48443890
doget:27969868 JDBC:27476127
doget:44915755 JDBC:44530711
doget:30674240 JDBC:30306832
doget:22665490 JDBC:22240938
doget:21865207 JDBC:21444592
doget:35156023 JDBC:34826028
doget:25822260 JDBC:25415152
doget:25645210 JDBC:25213359
doget:34850713 JDBC:34482321
doget:25690337 JDBC:25282155
doget:36976628 JDBC:36498432
doget:44877500 JDBC:44409077
doget:38008954 JDBC:37648768
doget:36435651 JDBC:36059548
doget:27578146 JDBC:27104088
doget:50802122 JDBC:50378066
doget:44364045 JDBC:43905422
doget:44993488 JDBC:44544073
doget:39866247 JDBC:39479658
doget:38204610 JDBC:37835156
doget:41001119 JDBC:40614470
doget:54916812 JDBC:54506656
doget:48020640 JDBC:47644089
doget:48502754 JDBC:47921737
doget:26999095 JDBC:26609358
doget:27438625 JDBC:27001838
doget:41000653 JDBC:40645414
doget:24084230 JDBC:23706065
doget:30408776 JDBC:29983645
doget:42915802 JDBC:42517697
doget:23446630 JDBC:23005457
doget:28960012 JDBC:28570612
doget:47927130 JDBC:47514002
doget:45143878 JDBC:44755766
doget:36589190 JDBC:36228490
doget:33852112 JDBC:33431116
doget:22556933 JDBC:21947219
doget:44532905 JDBC:44188717
doget:24417744 JDBC:24066676
doget:30261057 JDBC:29874286
doget:27372855 JDBC:26983225
doget:41184311 JDBC:40848025
doget:34116191 JDBC:33679257
doget:40455825 JDBC:40051537
doget:25842302 JDBC:25500498
doget:62340748 JDBC:61870879
doget:21804511 JDBC:21372127
doget:23214846 JDBC:22696611
doget:41512838 JDBC:41131847
doget:47056069 JDBC:43923689
doget:33337682 JDBC:32949648
doget:44432938 JDBC:44083439
doget:41881212 JDBC:41431874
doget:48666798 JDBC:48342948
doget:21922337 JDBC:21491985
doget:34127721 JDBC:33722657
doget:41019421 JDBC:40594628
doget:36688021 JDBC:36334469
doget:41235578 JDBC:40876469
doget:22196660 JDBC:21776072
doget:40396874 JDBC:39967832
doget:29693973 JDBC:29224117
doget:40111534 JDBC:39736357
doget:35186394 JDBC:34796593
doget:42002633 JDBC:40518849
doget:30142965 JDBC:29683383
doget:41654571 JDBC:41262275
doget:22783700 JDBC:22365884
doget:47238420 JDBC:46800074
doget:22808246 JDBC:22280690
doget:28455123 JDBC:28065104
doget:37698375 JDBC:37285825
doget:30307574 JDBC:29856228
doget:33584930 JDBC:33165875
doget:44224380 JDBC:43791891
doget:34948887 JDBC:34618332
doget:34981176 JDBC:34528541
doget:47038509 JDBC:46679848
doget:30177645 JDBC:29775677
doget:22315837 JDBC:21702330
doget:42515148 JDBC:42117408
doget:33503506 JDBC:33101592
doget:22360541 JDBC:21764060
doget:37584547 JDBC:37205992
doget:34485278 JDBC:34096740
doget:19180470 JDBC:18569506
doget:47206359 JDBC:43505275
doget:22206715 JDBC:21864357
doget:45412812 JDBC:45033832
doget:39292773 JDBC:38926616
doget:34911911 JDBC:34546917
doget:44493807 JDBC:44097670
doget:28129862 JDBC:27716096
doget:26665358 JDBC:26246048
doget:44431023 JDBC:44080193
doget:19869354 JDBC:19240434
doget:87625271 JDBC:87228289
doget:30822842 JDBC:30435411
doget:30397649 JDBC:24162345
doget:40151228 JDBC:39721703
doget:42149714 JDBC:41786821
doget:33915020 JDBC:33472942
doget:33466639 JDBC:33103881
doget:45206903 JDBC:44863722
doget:27133052 JDBC:26793029
doget:41143775 JDBC:40701244
doget:22997251 JDBC:22585705
doget:30821580 JDBC:30422866
doget:30114982 JDBC:29772709
doget:23051237 JDBC:22568211
doget:26745010 JDBC:24284054
doget:46298352 JDBC:42782168
doget:35543343 JDBC:35104309
doget:23279379 JDBC:22815645
doget:35338077 JDBC:34952104
doget:47401972 JDBC:47061114
doget:38186688 JDBC:37819319
doget:34763535 JDBC:34340185
doget:41209382 JDBC:40868416
doget:33708668 JDBC:33346210
doget:41534431 JDBC:41159968
doget:28959837 JDBC:28562345
doget:39817723 JDBC:39398647
doget:34821230 JDBC:34335814
doget:23408625 JDBC:22844701
doget:47765292 JDBC:47330847
doget:47983363 JDBC:47531292
doget:26603691 JDBC:26127791
doget:45945799 JDBC:45587367
doget:42721141 JDBC:42332393
doget:30633331 JDBC:30161531
doget:25843573 JDBC:22192509
doget:26624542 JDBC:26145024
doget:44620175 JDBC:44161934
doget:36537320 JDBC:36095663
doget:33508427 JDBC:33150197
doget:38481764 JDBC:38057307
doget:46239024 JDBC:45786371
doget:44713283 JDBC:44366123
doget:24370348 JDBC:23992324
doget:21841216 JDBC:21416978
doget:26782886 JDBC:26426673
doget:43606950 JDBC:43279744
doget:24193884 JDBC:23813626
doget:44320958 JDBC:43936470
doget:44495304 JDBC:44114858
doget:50359142 JDBC:49951457
doget:44394957 JDBC:43980563
doget:23980633 JDBC:23653874
doget:42727049 JDBC:42370800
doget:46914925 JDBC:46528311
doget:41979672 JDBC:41517551
doget:34747360 JDBC:34410967
doget:30372222 JDBC:30013642
doget:39380775 JDBC:39029271
doget:54194097 JDBC:49319143
doget:36454329 JDBC:36112479
doget:28974800 JDBC:28597566
doget:39614861 JDBC:39257164
doget:24338807 JDBC:23933500
doget:25844111 JDBC:25484003
doget:30124365 JDBC:29706819
doget:29264636 JDBC:28879923
doget:24046272 JDBC:23669716
doget:36150463 JDBC:35787539
doget:39824736 JDBC:39456086
doget:37646110 JDBC:37238179
doget:30117442 JDBC:29671376
doget:64990069 JDBC:64599431
doget:30579536 JDBC:30141504
doget:34971050 JDBC:34562050
doget:26347136 JDBC:25817862
doget:47759591 JDBC:45158587
doget:70375203 JDBC:70010872
doget:72454553 JDBC:72079909
doget:40501807 JDBC:39598095
doget:45093584 JDBC:44684133
doget:24293031 JDBC:23889888
doget:41837028 JDBC:41465923
doget:30622850 JDBC:30199369
doget:50801006 JDBC:50412705
doget:30626439 JDBC:30217860
doget:21753095 JDBC:21266241
doget:35235111 JDBC:34816339
doget:34079816 JDBC:33670578
doget:46118644 JDBC:45703490
doget:38120220 JDBC:37717466
doget:33677696 JDBC:33251171
doget:53766447 JDBC:53366742
doget:19466746 JDBC:18860143
doget:30709816 JDBC:30326827
doget:44774754 JDBC:44325778
doget:38175983 JDBC:37811639
doget:30841728 JDBC:30445372
doget:35640441 JDBC:35285135
doget:28038252 JDBC:27592310
doget:41717869 JDBC:41334808
doget:21279641 JDBC:20892646
doget:22695871 JDBC:22040584
doget:41407103 JDBC:40986429
doget:25527445 JDBC:25172110
doget:46891088 JDBC:46512356
doget:48764716 JDBC:48401106
doget:28126958 JDBC:27678794
doget:33761699 JDBC:33380460
doget:38148104 JDBC:37766964
doget:21642417 JDBC:21262082
doget:33229022 JDBC:32818826
doget:22968078 JDBC:22634244
doget:37676056 JDBC:37335788
doget:45805963 JDBC:45416074
doget:44379638 JDBC:44015101
doget:33935258 JDBC:33541774
doget:22086822 JDBC:21667585
doget:28015748 JDBC:27561832
doget:22162935 JDBC:21713695
doget:33906920 JDBC:33506166
doget:23070517 JDBC:22620867
doget:21820220 JDBC:21393771
doget:22910271 JDBC:22525491
doget:34143239 JDBC:33722923
doget:53818808 JDBC:53435412
doget:44924794 JDBC:44528151
doget:54049271 JDBC:53685230
doget:38661807 JDBC:38269243
doget:38428214 JDBC:38048304
doget:35041633 JDBC:34674035
doget:44332127 JDBC:43922682
doget:18715734 JDBC:18264480
doget:39719744 JDBC:39336160
doget:41396505 JDBC:41000799
doget:33323210 JDBC:32876466
doget:42911283 JDBC:42499623
doget:36738340 JDBC:36334145
doget:39970006 JDBC:39639874
doget:41755387 JDBC:41414143
doget:36590372 JDBC:36211209
doget:38791649 JDBC:38442892
doget:50729989 JDBC:50301153
doget:40086058 JDBC:39618761
doget:30374570 JDBC:29970981
doget:36815128 JDBC:36417452
doget:38146103 JDBC:37789285
doget:27371503 JDBC:26998103
doget:47132997 JDBC:46694575
doget:36949778 JDBC:36572963
doget:35268386 JDBC:34859081
doget:34702817 JDBC:34315789
doget:27955206 JDBC:27492647
doget:30533219 JDBC:30136045
doget:34356530 JDBC:33995579
doget:38030179 JDBC:37623482
doget:31008988 JDBC:30625139
doget:56355440 JDBC:55963293
doget:27681398 JDBC:27236765
doget:21200733 JDBC:20796987
doget:46236959 JDBC:45830467
doget:44327461 JDBC:43954345
doget:34301758 JDBC:33983504
doget:27653619 JDBC:27218909
doget:34633174 JDBC:34303553
doget:29071241 JDBC:28654435
doget:28341073 JDBC:27910648
doget:25534260 JDBC:25172241
doget:35178838 JDBC:34732004
doget:23150282 JDBC:22739909
doget:20982726 JDBC:20357307
doget:18918439 JDBC:18379144
doget:40561757 JDBC:39269841
doget:39966581 JDBC:39587665
doget:39522542 JDBC:39072933
doget:33591635 JDBC:33172854
doget:70629170 JDBC:66278040
doget:36436009 JDBC:36066551
doget:44981410 JDBC:38664020
doget:36840724 JDBC:36500217
doget:39744597 JDBC:39342545
doget:45810776 JDBC:45443089
doget:33262264 JDBC:29648142
doget:41706754 JDBC:41328322
doget:27407811 JDBC:27063337
doget:34146875 JDBC:33787122
doget:19448714 JDBC:18767711
doget:30518978 JDBC:30149883
doget:39295313 JDBC:38953922
doget:36436787 JDBC:36011760
doget:50461844 JDBC:50077345
doget:48717314 JDBC:48364948
doget:35931366 JDBC:34796217
doget:38444321 JDBC:38012064
doget:41365333 JDBC:40951889
doget:21224204 JDBC:20796115
doget:42118058 JDBC:41671840
doget:40858713 JDBC:40509465
doget:20612160 JDBC:20053668
doget:37117959 JDBC:36771919
doget:30436531 JDBC:30029117
doget:38945786 JDBC:38572758
doget:45788376 JDBC:45387007
doget:24648965 JDBC:24281534
doget:36806667 JDBC:36385824
doget:28704501 JDBC:28319717
doget:27176714 JDBC:26830379
doget:28175853 JDBC:27777522
doget:59436948 JDBC:59064472
doget:40982202 JDBC:40643545
doget:38513685 JDBC:38109352
doget:36637663 JDBC:36280733
doget:60094104 JDBC:59683574
doget:49363028 JDBC:48926292
doget:44125064 JDBC:43723711
doget:40279266 JDBC:39351970
doget:43324278 JDBC:42889212
doget:36801678 JDBC:36363254
doget:54834536 JDBC:54395211
doget:30738102 JDBC:30288583
doget:72723743 JDBC:72336279
doget:35468175 JDBC:34996020
doget:47545021 JDBC:47116639
doget:23395186 JDBC:22765232
doget:35422861 JDBC:34984568
doget:46326786 JDBC:45863005
doget:38491183 JDBC:38117587
doget:40376434 JDBC:39959438
doget:36651698 JDBC:36273561
doget:28742078 JDBC:28372876
doget:43917282 JDBC:43554697
doget:29043646 JDBC:28638795
doget:37226124 JDBC:36774988
doget:49926647 JDBC:49519318
doget:33531426 JDBC:33196165
doget:71547970 JDBC:71151205
doget:47211088 JDBC:46815173
doget:37841976 JDBC:37483208
doget:39999529 JDBC:39565464
doget:35262239 JDBC:34854288
doget:50077976 JDBC:46598709
doget:40002726 JDBC:39623398
doget:33592141 JDBC:33162749
doget:23326969 JDBC:22942892
doget:30567638 JDBC:30205798
doget:37507890 JDBC:37120083
doget:22519343 JDBC:22163357
doget:29986360 JDBC:29634682
doget:41003988 JDBC:40624809
doget:33354481 JDBC:32990435
doget:41558299 JDBC:41161559
doget:35047445 JDBC:34604159
doget:35007736 JDBC:34644345
doget:27745676 JDBC:27339702
doget:41800076 JDBC:41367886
doget:23546508 JDBC:23095171
doget:37768378 JDBC:37393423
doget:24531676 JDBC:24041869
doget:22540939 JDBC:22134287
doget:30572195 JDBC:30216430
doget:44388679 JDBC:43933194
doget:47349559 JDBC:46865703
doget:50600664 JDBC:50147934
doget:38031439 JDBC:37596667
doget:22925531 JDBC:22493275
doget:33515351 JDBC:33064859
doget:49011084 JDBC:48673498
doget:34959758 JDBC:34621131
doget:40464090 JDBC:40107029
doget:38105512 JDBC:37758648
doget:46867164 JDBC:46448127
doget:38530385 JDBC:38075643
doget:37164164 JDBC:36847229
doget:33428750 JDBC:33054352
doget:74662727 JDBC:71564646
doget:35129410 JDBC:34794507
doget:21402198 JDBC:21010782
doget:25652257 JDBC:25261040
doget:23655524 JDBC:23292987
doget:39548939 JDBC:39196922
doget:42648345 JDBC:42249702
doget:44784952 JDBC:44407636
doget:33414946 JDBC:33031791
doget:33080484 JDBC:32715785
doget:28884228 JDBC:28471542
doget:41032519 JDBC:40625946
doget:48697121 JDBC:48346467
doget:33406555 JDBC:33070977
doget:18708378 JDBC:18205598
doget:41828847 JDBC:41453371
doget:44770386 JDBC:44381112
doget:51281213 JDBC:50887735
doget:36254740 JDBC:35932271
doget:18995093 JDBC:18595970
doget:23035520 JDBC:22517847
doget:35473173 JDBC:35089964
doget:35976050 JDBC:35627090
doget:21967675 JDBC:21489504
doget:38117278 JDBC:37729099
doget:21747605 JDBC:21275903
doget:25529383 JDBC:25156549
doget:38360908 JDBC:37995479
doget:39703264 JDBC:39319815
doget:30481428 JDBC:30145000
doget:49091590 JDBC:48695312
doget:33418635 JDBC:33031706
doget:44582684 JDBC:44190795
doget:40166689 JDBC:39701778
doget:44903306 JDBC:44498673
doget:38500712 JDBC:38030582
doget:33261932 JDBC:32870620
doget:35077819 JDBC:34764921
doget:39454237 JDBC:39031788
doget:44712209 JDBC:44332481
doget:48395965 JDBC:48008467
doget:44431665 JDBC:43950568
doget:44176934 JDBC:43834037
doget:26246312 JDBC:25808777
doget:36618494 JDBC:36167789
doget:36253469 JDBC:35835371
doget:47256054 JDBC:46902400
doget:34640003 JDBC:34221252
doget:22009942 JDBC:21555849
doget:33035772 JDBC:32596131
doget:62990183 JDBC:62558766
doget:20755774 JDBC:20164172
doget:23944639 JDBC:23599619
doget:43544650 JDBC:43187598
doget:27139367 JDBC:26695113
doget:21353026 JDBC:20962690
doget:30491845 JDBC:30121313
doget:49279803 JDBC:48926951
doget:28940758 JDBC:28548819
doget:33763862 JDBC:33380387
doget:46011548 JDBC:45622219
doget:36928337 JDBC:36552303
doget:33770791 JDBC:33357612
doget:34908210 JDBC:34557450
doget:27503609 JDBC:27131491
doget:44474533 JDBC:44103807
doget:40142178 JDBC:39736351
doget:36294183 JDBC:35959674
doget:43529003 JDBC:43167736
doget:35692798 JDBC:33219957
doget:40852241 JDBC:40442946
doget:39290946 JDBC:38934117
doget:34868670 JDBC:34483701
doget:42579808 JDBC:42178894
doget:33589464 JDBC:33214012
doget:30749155 JDBC:30371110
doget:29559328 JDBC:29162223
doget:49209128 JDBC:48800259
doget:50520776 JDBC:50110531
doget:44309334 JDBC:43942406
doget:53653911 JDBC:53280427
doget:54653170 JDBC:53291325
