doget:95618562 JDBC:52318237
doget:71360664 JDBC:66101113
doget:34002989 JDBC:33704915
doget:55196104 JDBC:54925529
doget:66647895 JDBC:58310684
doget:45854700 JDBC:45056184
doget:61674938 JDBC:61393304
doget:52114227 JDBC:51883969
doget:100375581 JDBC:97386395
doget:145993578 JDBC:136724734
doget:90460074 JDBC:75404270
doget:70320570 JDBC:69947554
doget:84824202 JDBC:69666946
doget:65171506 JDBC:64573146
doget:64746519 JDBC:64401163
doget:35612466 JDBC:35376573
doget:34396761 JDBC:34167548
doget:34047576 JDBC:33731411
doget:46507752 JDBC:45572773
doget:73967843 JDBC:73498029
doget:69007571 JDBC:68717699
doget:66386680 JDBC:66142590
doget:48667226 JDBC:47899488
doget:121985784 JDBC:116203337
doget:126528116 JDBC:126161831
doget:155708159 JDBC:151638573
doget:131407539 JDBC:131160839
doget:127630817 JDBC:114131835
doget:61733975 JDBC:61360770
doget:42762247 JDBC:40024742
doget:54043935 JDBC:53777835
doget:36883925 JDBC:36110766
doget:87776176 JDBC:87378761
doget:130235683 JDBC:122553918
doget:96051598 JDBC:95672565
doget:82898395 JDBC:82667715
doget:103578861 JDBC:103269754
doget:36861043 JDBC:34366468
doget:58387453 JDBC:58046651
doget:110138169 JDBC:109665771
doget:82752589 JDBC:82453140
doget:78162000 JDBC:77903960
doget:33763138 JDBC:33368862
doget:54950053 JDBC:54611184
doget:44542629 JDBC:43843314
doget:68709841 JDBC:68468868
doget:88238563 JDBC:82461453
doget:119115085 JDBC:113643542
doget:86427198 JDBC:86147990
doget:93368151 JDBC:93028158
doget:40803937 JDBC:40546290
doget:57341653 JDBC:57102001
doget:48190816 JDBC:47459993
doget:58696436 JDBC:58315050
doget:52730168 JDBC:52456234
doget:43535357 JDBC:43156123
doget:103388857 JDBC:103093680
doget:148804839 JDBC:148478581
doget:150794489 JDBC:150560569
doget:128507916 JDBC:128255415
doget:133470901 JDBC:133268928
doget:56375631 JDBC:55979493
doget:85634357 JDBC:85286439
doget:122111426 JDBC:121719172
doget:132174358 JDBC:131804638
doget:171830071 JDBC:165678001
doget:53855727 JDBC:53533609
doget:164061195 JDBC:163793361
doget:43782677 JDBC:43502787
doget:53175311 JDBC:52874833
doget:60567181 JDBC:60298430
doget:61854528 JDBC:61607486
doget:99463790 JDBC:98001474
doget:76729520 JDBC:76536628
doget:48966915 JDBC:48633194
doget:46334569 JDBC:46073502
doget:97716441 JDBC:97366541
doget:144167962 JDBC:143686006
doget:146180081 JDBC:145875718
doget:99234835 JDBC:98922337
doget:152170230 JDBC:151876270
doget:72409049 JDBC:72108231
doget:113606603 JDBC:113349180
doget:112030343 JDBC:110305135
doget:156676241 JDBC:156350341
doget:230124461 JDBC:229932757
doget:202408342 JDBC:202081481
doget:183947544 JDBC:183734493
doget:148349770 JDBC:148074392
doget:80873633 JDBC:80631810
doget:75611992 JDBC:75338888
doget:112132933 JDBC:111795817
doget:137864308 JDBC:137547307
doget:164629231 JDBC:164294553
doget:133825671 JDBC:133569844
doget:90674313 JDBC:90423332
doget:29121184 JDBC:28895301
doget:32047479 JDBC:31664620
doget:79166135 JDBC:78933669
doget:90283879 JDBC:89988486
doget:109732297 JDBC:109426425
doget:46676335 JDBC:39375141
doget:105635828 JDBC:105389388
doget:42561304 JDBC:37751490
doget:42195613 JDBC:41848056
doget:116373117 JDBC:116075246
