doget:45299152 JDBC:44983867
doget:43299306 JDBC:42981664
doget:43280736 JDBC:42915852
doget:43411129 JDBC:43110079
doget:18572884 JDBC:18060591
doget:44338152 JDBC:43978606
doget:35647031 JDBC:35344175
doget:44472523 JDBC:44167434
doget:42401442 JDBC:42053294
doget:37847587 JDBC:37538153
doget:40537190 JDBC:40197885
doget:32463707 JDBC:32148219
doget:40480755 JDBC:40195353
doget:29624413 JDBC:29300595
doget:37395881 JDBC:37116304
doget:29735262 JDBC:29443875
doget:61829889 JDBC:61543848
doget:28357729 JDBC:27955187
doget:38785731 JDBC:38519198
doget:42780787 JDBC:42457181
doget:38989808 JDBC:38705749
doget:26500820 JDBC:26228453
doget:42412168 JDBC:42126920
doget:44250992 JDBC:43900601
doget:22760710 JDBC:22400989
doget:34162459 JDBC:33895633
doget:32602821 JDBC:32241694
doget:40403995 JDBC:40116690
doget:34535951 JDBC:34197909
doget:33009097 JDBC:32693392
doget:22440275 JDBC:21997163
doget:64448114 JDBC:64168446
doget:36928126 JDBC:36671472
doget:33541783 JDBC:33237640
doget:44120545 JDBC:43830121
doget:35847788 JDBC:35531192
doget:35618742 JDBC:35273014
doget:23781433 JDBC:23476751
doget:39784403 JDBC:39497393
doget:42101493 JDBC:41715751
doget:64695172 JDBC:64412397
doget:38968855 JDBC:38669266
doget:32834272 JDBC:32540770
doget:34149698 JDBC:33869926
doget:22424476 JDBC:22095807
doget:27563089 JDBC:27270710
doget:32985251 JDBC:32721418
doget:26786170 JDBC:26395020
doget:34333557 JDBC:34027335
doget:27887354 JDBC:27585091
doget:35476384 JDBC:35202822
doget:40457960 JDBC:40187457
doget:32442550 JDBC:32094183
doget:43662010 JDBC:43391122
doget:22044303 JDBC:21770920
doget:20926145 JDBC:20577150
doget:46705086 JDBC:46465686
doget:33022050 JDBC:32696218
doget:22088105 JDBC:21855605
doget:34197507 JDBC:33914429
doget:43554414 JDBC:43299495
doget:46765445 JDBC:46514794
doget:32987495 JDBC:32733175
