doget:32832874 JDBC:32435338
doget:37361611 JDBC:37071551
doget:55945135 JDBC:55742498
doget:79719150 JDBC:79410897
doget:73774058 JDBC:73541587
doget:77223840 JDBC:77057225
doget:49607008 JDBC:49371012
doget:74450582 JDBC:74230832
doget:128308812 JDBC:128094872
doget:135000655 JDBC:134755212
doget:153191739 JDBC:152967490
doget:141736152 JDBC:141460093
doget:214706737 JDBC:214514432
doget:155037269 JDBC:154727375
doget:196367656 JDBC:196145225
doget:144003549 JDBC:143757393
doget:161171636 JDBC:160997925
doget:122424061 JDBC:121916422
doget:180341599 JDBC:177909372
doget:190791579 JDBC:174222234
doget:271511126 JDBC:271325589
doget:228766837 JDBC:228455589
doget:209577929 JDBC:209328765
doget:165340040 JDBC:164652830
doget:266856099 JDBC:266572794
doget:261638583 JDBC:261477044
doget:196015545 JDBC:195793383
doget:222262412 JDBC:222009885
doget:234556198 JDBC:234248448
doget:155455623 JDBC:155187690
doget:204646266 JDBC:204343122
doget:238075106 JDBC:237825175
doget:211050363 JDBC:210801522
doget:274689310 JDBC:274424128
doget:221376537 JDBC:221171397
doget:248175854 JDBC:247945380
doget:137833956 JDBC:137573857
doget:206068965 JDBC:205750557
doget:322626127 JDBC:322405908
doget:138483440 JDBC:137483605
doget:170683297 JDBC:169767584
doget:185142491 JDBC:168443385
doget:205735790 JDBC:204966094
doget:206923963 JDBC:200090710
doget:249224935 JDBC:248985757
doget:234479301 JDBC:234246435
doget:291425925 JDBC:290766300
doget:247246792 JDBC:246993349
doget:238041362 JDBC:237803983
doget:222840604 JDBC:222522816
doget:278004354 JDBC:277808555
doget:219170121 JDBC:218890038
doget:189757635 JDBC:189524408
doget:419520610 JDBC:419290712
doget:234838308 JDBC:234648307
doget:287390097 JDBC:287121187
doget:151070120 JDBC:150815636
doget:267630451 JDBC:267393809
doget:239737299 JDBC:239530312
doget:207444054 JDBC:207258271
doget:282392294 JDBC:281400961
doget:127211424 JDBC:112327676
doget:83396185 JDBC:77815696
doget:142192389 JDBC:141895028
doget:158629582 JDBC:158313115
doget:199607225 JDBC:199382571
doget:142724891 JDBC:142238622
doget:190649532 JDBC:190391219
doget:235741553 JDBC:235500491
doget:276199678 JDBC:275994743
doget:264622707 JDBC:264335708
doget:333973785 JDBC:314239255
doget:233748323 JDBC:230542284
doget:205957800 JDBC:168806626
doget:487427726 JDBC:487117779
doget:554914367 JDBC:554709547
doget:345595630 JDBC:334054628
doget:443228165 JDBC:428708013
doget:389290149 JDBC:380694030
doget:475056463 JDBC:472034881
doget:371539142 JDBC:363564274
doget:356592137 JDBC:348813767
doget:474153360 JDBC:468303053
doget:276535297 JDBC:268573719
doget:161750586 JDBC:154122680
doget:172940017 JDBC:172759069
doget:198767344 JDBC:197975317
doget:285683174 JDBC:285417878
doget:299980260 JDBC:299712921
doget:230426675 JDBC:229804980
doget:248939916 JDBC:248441323
doget:260407280 JDBC:259598360
doget:278716189 JDBC:278152868
doget:298454951 JDBC:298008806
doget:69597367 JDBC:64602947
doget:72000562 JDBC:71871884
doget:177197972 JDBC:176984927
doget:203931003 JDBC:197756520
doget:236375633 JDBC:223831381
doget:177442476 JDBC:177209815
doget:268758847 JDBC:268480997
doget:270144874 JDBC:269912775
doget:193149386 JDBC:192944567
doget:41762784 JDBC:41155568
doget:84164193 JDBC:83944008
doget:59976288 JDBC:54985572
doget:63444908 JDBC:63305583
doget:42933058 JDBC:42679074
doget:67404954 JDBC:67180325
doget:200752280 JDBC:200069530
doget:213921814 JDBC:213350186
doget:231196124 JDBC:200224339
doget:241182310 JDBC:240634946
doget:265937884 JDBC:265212849
